strata_no,crop,land_type,time,N2Oflux,NOflux,N2flux,CH4,NIT,ANNPPT
1,idle,switchgrass75,2016,0.059651,0.119907,0.0,0.218813,3.23847,139.572556
1,idle,switchgrass75,2017,0.040426,0.090601,0.001331,0.263129,2.089328,122.449692
1,idle,switchgrass75,2018,0.088086,0.132524,2.5e-05,0.182539,4.808129,149.393951
1,idle,switchgrass75,2019,0.123635,0.128651,0.004318,0.183388,7.014105,148.35675
1,idle,switchgrass75,2020,0.112733,0.118289,0.0,0.216955,6.610906,125.047943
1,idle,switchgrass75,2021,0.140849,0.142011,5.6e-05,0.198605,8.263038,141.96521
1,idle,switchgrass75,2022,0.112298,0.112329,0.002994,0.237433,5.903729,137.576752
1,idle,switchgrass75,2023,0.13628,0.144224,0.00242,0.203076,7.557142,138.745132
1,idle,switchgrass75,2024,0.138067,0.147166,3e-06,0.200467,8.19156,146.166794
1,idle,switchgrass75,2025,0.119326,0.126307,0.0,0.251507,7.091767,111.499336
1,idle,switchgrass75,2026,0.152986,0.129804,0.014634,0.219189,7.840617,133.419678
1,idle,switchgrass75,2027,0.122362,0.111418,0.030146,0.264119,4.991909,101.660469
1,idle,switchgrass75,2028,0.15535,0.150371,0.009355,0.219445,7.952025,143.422775
1,idle,switchgrass75,2029,0.153746,0.135027,0.00704,0.215509,7.749669,134.24881
1,idle,switchgrass75,2030,0.143098,0.146689,3e-06,0.199425,8.451149,153.590607
1,idle,switchgrass75,2031,0.127983,0.128079,3e-06,0.226129,7.424142,118.904243
1,idle,switchgrass75,2032,0.138389,0.133157,0.00366,0.212873,7.308106,143.852585
1,idle,switchgrass75,2033,0.100604,0.128871,0.0,0.257267,5.924154,105.318329
1,idle,switchgrass75,2034,0.1189,0.160071,0.0,0.267567,7.193443,79.196388
1,idle,switchgrass75,2035,0.136636,0.0164,0.0,0.225973,8.154642,133.942474
1,idle,switchgrass75,2036,0.136638,0.007626,0.0,0.214627,8.337734,136.611191
1,idle,switchgrass75,2037,0.160621,0.135702,0.015687,0.197797,8.024343,155.116974
1,idle,switchgrass75,2038,0.115378,0.125194,0.0,0.227729,6.772856,127.419052
1,idle,switchgrass75,2039,0.151019,0.123994,0.017503,0.239497,6.609809,118.088028
1,idle,switchgrass75,2040,0.153696,0.144368,0.001966,0.202781,8.910813,144.686295
1,idle,switchgrass75,2041,0.151303,0.132134,0.01138,0.197669,7.844692,173.853271
1,idle,switchgrass75,2042,0.142646,0.123865,0.005927,0.214429,7.657284,120.961914
1,idle,switchgrass75,2043,0.147496,0.148346,0.006445,0.228797,7.948328,107.153473
1,idle,switchgrass75,2044,0.114625,0.142012,4.3e-05,0.245837,6.74728,120.415733
1,idle,switchgrass75,2045,0.098595,0.106867,0.0,0.246547,5.730856,105.983932
1,idle,switchgrass75,2046,0.143447,0.147639,0.005565,0.218004,7.990223,129.975586
1,idle,switchgrass75,2047,0.141907,0.146487,0.002543,0.206652,8.154552,139.572556
1,idle,switchgrass75,2048,0.109044,0.112503,0.002334,0.243697,6.364488,122.449692
1,idle,switchgrass75,2049,0.155057,0.156442,0.0,0.204041,9.26655,149.393951
1,idle,switchgrass75,2050,0.143604,0.136633,0.004129,0.19282,7.952155,148.35675
1,idle,switchgrass75,2051,0.126964,0.132187,0.0,0.21735,7.581583,125.047943
1,idle,switchgrass75,2052,0.147538,0.148621,5.6e-05,0.198733,8.69658,141.96521
1,idle,switchgrass75,2053,0.11403,0.114336,0.002803,0.237499,6.033791,137.576752
1,idle,switchgrass75,2054,0.137324,0.145207,0.002341,0.203104,7.626651,138.745132
1,idle,switchgrass75,2055,0.138666,0.14759,3e-06,0.200482,8.246595,146.166794
1,idle,switchgrass75,2056,0.119489,0.12643,0.0,0.251517,7.110689,111.499336
1,idle,switchgrass75,2057,0.152371,0.129733,0.013712,0.219194,7.853286,133.419678
1,idle,switchgrass75,2058,0.121328,0.111519,0.028353,0.264122,5.004468,101.660469
1,idle,switchgrass75,2059,0.15467,0.150166,0.008724,0.219447,7.951434,143.422775
1,idle,switchgrass75,2060,0.152632,0.13459,0.006554,0.21551,7.735543,134.24881
1,idle,switchgrass75,2061,0.142661,0.146175,2e-06,0.199426,8.433048,153.590607
1,idle,switchgrass75,2062,0.127604,0.127665,2e-06,0.226129,7.408456,118.904243
1,idle,switchgrass75,2063,0.137631,0.132581,0.00347,0.212873,7.287126,143.852585
1,idle,switchgrass75,2064,0.10039,0.128428,0.0,0.257262,5.916036,105.318329
1,idle,switchgrass75,2065,0.118748,0.159806,0.0,0.267567,7.185504,79.196388
1,idle,switchgrass75,2066,0.136113,0.0164,0.0,0.225973,8.129345,133.942474
1,idle,switchgrass75,2067,0.136105,0.007614,0.0,0.214627,8.311355,136.611191
1,idle,switchgrass75,2068,0.159461,0.134943,0.015022,0.197797,7.990032,155.116974
78,idle,switchgrass75,1975,0.066867,0.074011,0.010691,0.127377,0.993997,168.569321
78,idle,switchgrass75,1976,0.013762,0.048591,0.0,0.15548,0.612379,136.082245
78,idle,switchgrass75,1977,0.017945,0.05166,0.002252,0.161271,0.625784,121.303833
78,idle,switchgrass75,1978,0.017885,0.053221,0.0,0.123562,0.831823,146.137024
78,idle,switchgrass75,1979,0.01609,0.049438,0.0,0.126559,0.708014,180.862717
78,idle,switchgrass75,1980,0.026427,0.052541,0.004667,0.135188,0.737473,125.201721
78,idle,switchgrass75,1981,0.020581,0.0633,0.0,0.137269,0.933028,116.666748
78,idle,switchgrass75,1982,0.019468,0.064769,0.0,0.169793,0.884866,120.562538
78,idle,switchgrass75,1983,0.017131,0.058331,0.0,0.184901,0.787086,112.79171
78,idle,switchgrass75,1984,0.021621,0.063453,0.001098,0.154421,0.861653,123.40094
78,idle,switchgrass75,1985,0.027303,0.085381,0.0,0.112719,1.224706,141.141342
78,idle,switchgrass75,1986,0.016192,0.057103,0.0,0.192791,0.709333,123.736481
78,idle,switchgrass75,1987,0.026853,0.082529,0.0,0.141564,1.174376,149.332138
78,idle,switchgrass75,1988,0.028902,0.084857,0.001397,0.117096,1.236434,141.567657
78,idle,switchgrass75,1989,0.028178,0.081299,0.001505,0.134133,1.16687,123.376808
78,idle,switchgrass75,1990,0.030973,0.094237,0.0,0.1068,1.404689,140.698013
78,idle,switchgrass75,1991,0.027543,0.076162,0.002473,0.154644,0.985018,150.380646
78,idle,switchgrass75,1992,0.039583,0.093121,0.005274,0.116188,1.335923,136.799057
78,idle,switchgrass75,1993,0.030167,0.102885,0.0,0.12358,1.348491,147.409042
78,idle,switchgrass75,1994,0.029328,0.098402,0.0,0.162975,1.349634,121.833733
78,idle,switchgrass75,1995,0.030926,0.102858,0.0,0.14353,1.431486,131.899338
78,idle,switchgrass75,1996,0.023765,0.07315,0.002688,0.214959,0.92516,104.227684
78,idle,switchgrass75,1997,0.041419,0.100284,0.004957,0.151157,1.380802,151.75795
78,idle,switchgrass75,1998,0.040907,0.11071,0.001049,0.118378,1.754559,136.401917
78,idle,switchgrass75,1999,0.038308,0.114681,0.0,0.113846,1.758319,159.030472
78,idle,switchgrass75,2000,0.032243,0.102218,1.4e-05,0.144201,1.466293,115.214417
78,idle,switchgrass75,2001,0.04227,0.108848,0.003666,0.149663,1.518917,149.281464
78,idle,switchgrass75,2002,0.025504,0.092509,0.0,0.181153,1.121008,119.790215
78,idle,switchgrass75,2003,0.028778,0.098659,0.0,0.213209,1.363369,80.747902
78,idle,switchgrass75,2004,0.032422,0.020402,0.0,0.16641,1.409755,135.374115
78,idle,switchgrass75,2005,0.036006,0.007996,0.0,0.140114,1.653586,133.875824
78,idle,switchgrass75,2006,0.04952,0.1122,0.006174,0.116587,1.696053,168.569321
78,idle,switchgrass75,2007,0.032402,0.115028,0.0,0.156153,1.467133,136.082245
78,idle,switchgrass75,2008,0.040548,0.10945,0.007594,0.169854,1.394033,121.303833
78,idle,switchgrass75,2009,0.04081,0.122605,0.0,0.125678,1.856746,146.137024
78,idle,switchgrass75,2010,0.039272,0.118785,0.001212,0.125593,1.761161,180.862717
78,idle,switchgrass75,2011,0.04532,0.107394,0.005214,0.139876,1.530182,125.201721
78,idle,switchgrass75,2012,0.043345,0.125117,0.002946,0.139288,1.856945,116.666748
78,idle,switchgrass75,2013,0.037354,0.124575,2.6e-05,0.171391,1.72942,120.562538
78,idle,switchgrass75,2014,0.032347,0.108698,0.0,0.185454,1.546692,112.79171
78,idle,switchgrass75,2015,0.038791,0.108612,0.002722,0.155996,1.578666,123.40094
78,idle,switchgrass75,2016,0.047602,0.147056,0.0,0.113103,2.238266,141.141342
78,idle,switchgrass75,2017,0.029746,0.10507,0.0,0.192159,1.379974,123.736481
78,idle,switchgrass75,2018,0.089635,0.208647,0.0,0.08621,4.51622,149.332138
78,idle,switchgrass75,2019,0.115691,0.192873,0.012727,0.095255,5.963636,141.567657
78,idle,switchgrass75,2020,0.096748,0.140055,0.002452,0.124111,4.91886,123.376808
78,idle,switchgrass75,2021,0.127558,0.197333,3e-06,0.097986,6.915016,140.698013
78,idle,switchgrass75,2022,0.095693,0.139937,0.002442,0.141006,4.611504,150.380646
78,idle,switchgrass75,2023,0.135755,0.201834,0.010285,0.103179,6.411404,136.799057
78,idle,switchgrass75,2024,0.113619,0.186709,0.0,0.10598,6.070838,147.409042
78,idle,switchgrass75,2025,0.106374,0.165242,0.0,0.144602,5.741826,121.833733
78,idle,switchgrass75,2026,0.108081,0.167651,0.0,0.134891,5.834697,131.899338
78,idle,switchgrass75,2027,0.139544,0.150959,0.049304,0.180013,4.898516,104.227684
78,idle,switchgrass75,2028,0.143804,0.209058,0.012403,0.129408,7.074376,151.75795
78,idle,switchgrass75,2029,0.13243,0.191039,0.002662,0.112462,7.001416,136.401917
78,idle,switchgrass75,2030,0.12358,0.179883,0.0,0.098777,6.692936,159.030472
78,idle,switchgrass75,2031,0.103143,0.153298,1.7e-05,0.14242,5.422661,115.214417
78,idle,switchgrass75,2032,0.116108,0.149838,0.008774,0.129019,4.974959,149.281464
78,idle,switchgrass75,2033,0.09001,0.144653,0.0,0.155336,4.711147,119.790215
78,idle,switchgrass75,2034,0.109554,0.196822,0.0,0.181754,6.268431,80.747902
78,idle,switchgrass75,2035,0.111841,0.030032,0.0,0.134182,6.138034,135.374115
78,idle,switchgrass75,2036,0.121853,0.010679,0.0,0.120751,7.042376,133.875824
78,idle,switchgrass75,2037,0.137089,0.181684,0.013089,0.099011,6.433996,168.569321
78,idle,switchgrass75,2038,0.095481,0.154969,0.0,0.129598,5.159132,136.082245
78,idle,switchgrass75,2039,0.138756,0.169332,0.03562,0.146938,5.466398,121.303833
78,idle,switchgrass75,2040,0.124826,0.174094,0.004285,0.107738,6.470724,146.137024
78,idle,switchgrass75,2041,0.116422,0.149286,0.016341,0.106995,5.187396,180.862717
78,idle,switchgrass75,2042,0.122624,0.152637,0.010269,0.121547,5.749784,125.201721
78,idle,switchgrass75,2043,0.120788,0.174605,0.006783,0.127119,6.01897,116.666748
78,idle,switchgrass75,2044,0.113647,0.196354,2.8e-05,0.148394,6.345576,120.562538
78,idle,switchgrass75,2045,0.094206,0.142086,0.0,0.155116,5.20427,112.79171
78,idle,switchgrass75,2046,0.127507,0.20072,0.007525,0.136467,6.695773,123.40094
78,idle,switchgrass75,2047,0.124675,0.194085,0.00316,0.10267,6.672481,141.141342
78,idle,switchgrass75,2048,0.083141,0.127257,0.00076,0.158978,4.501773,123.736481
78,idle,switchgrass75,2049,0.11433,0.172671,0.0,0.116926,6.143317,149.332138
78,idle,switchgrass75,2050,0.127108,0.182311,0.015128,0.110513,6.014321,141.567657
78,idle,switchgrass75,2051,0.104209,0.150701,0.002215,0.124093,5.450647,123.376808
78,idle,switchgrass75,2052,0.125192,0.19301,3e-06,0.098133,6.816868,140.698013
78,idle,switchgrass75,2053,0.090739,0.131835,0.00234,0.141095,4.340093,150.380646
78,idle,switchgrass75,2054,0.126804,0.187781,0.009306,0.103203,5.94328,136.799057
78,idle,switchgrass75,2055,0.105457,0.171907,0.0,0.105998,5.613717,147.409042
78,idle,switchgrass75,2056,0.099206,0.153876,0.0,0.144616,5.34184,121.833733
78,idle,switchgrass75,2057,0.101953,0.157366,0.0,0.134899,5.504314,131.899338
78,idle,switchgrass75,2058,0.132536,0.143637,0.0459,0.179981,4.668672,104.227684
78,idle,switchgrass75,2059,0.135376,0.196892,0.011259,0.129416,6.663114,151.75795
78,idle,switchgrass75,2060,0.124284,0.178793,0.002339,0.112466,6.550752,136.401917
78,idle,switchgrass75,2061,0.116221,0.168549,0.0,0.098814,6.298083,159.030472
78,idle,switchgrass75,2062,0.098085,0.145388,1.7e-05,0.142414,5.142453,115.214417
78,idle,switchgrass75,2063,0.109536,0.141406,0.007927,0.129025,4.66665,149.281464
78,idle,switchgrass75,2064,0.08617,0.138023,0.0,0.155318,4.50229,119.790215
78,idle,switchgrass75,2065,0.105994,0.189861,0.0,0.181747,6.048653,80.747902
78,idle,switchgrass75,2066,0.106918,0.029426,0.0,0.134198,5.86933,135.374115
78,idle,switchgrass75,2067,0.116701,0.010282,0.0,0.120755,6.739917,133.875824
78,idle,switchgrass75,2068,0.13109,0.172825,0.012095,0.099022,6.140012,168.569321
2,idle,switchgrass75,1975,0.071353,0.054129,0.010601,0.221992,1.412239,155.116974
2,idle,switchgrass75,1976,0.013464,0.030306,0.0,0.248494,0.730788,127.419052
2,idle,switchgrass75,1977,0.021005,0.032247,0.006024,0.247556,0.826992,118.088028
2,idle,switchgrass75,1978,0.02216,0.041234,0.0,0.217396,1.194009,144.686295
2,idle,switchgrass75,1979,0.020279,0.039518,3.6e-05,0.214811,1.045653,173.853271
2,idle,switchgrass75,1980,0.030471,0.039696,0.003839,0.227468,1.066582,120.961914
2,idle,switchgrass75,1981,0.024861,0.048972,0.000958,0.238918,1.250013,107.153473
2,idle,switchgrass75,1982,0.022625,0.049519,0.0,0.263263,1.179495,120.415733
2,idle,switchgrass75,1983,0.018698,0.041975,0.0,0.26768,0.974221,105.983932
2,idle,switchgrass75,1984,0.026657,0.047343,0.002025,0.236329,1.207263,129.975586
2,idle,switchgrass75,1985,0.032106,0.064187,0.0,0.220289,1.648634,139.572556
2,idle,switchgrass75,1986,0.020233,0.04668,0.0,0.263657,1.024746,122.449692
2,idle,switchgrass75,1987,0.036303,0.069759,0.0,0.224984,1.879941,149.393951
2,idle,switchgrass75,1988,0.038699,0.065604,0.003334,0.205289,1.79807,148.35675
2,idle,switchgrass75,1989,0.033214,0.066431,0.0,0.227142,1.731801,125.047943
2,idle,switchgrass75,1990,0.036539,0.070373,4e-05,0.214256,1.875622,141.96521
2,idle,switchgrass75,1991,0.03244,0.058572,0.002946,0.254524,1.315527,137.576752
2,idle,switchgrass75,1992,0.038494,0.074387,0.000899,0.216015,1.869879,138.745132
2,idle,switchgrass75,1993,0.036885,0.079306,0.0,0.2223,1.905319,146.166794
2,idle,switchgrass75,1994,0.035374,0.074961,0.0,0.259607,1.845912,111.499336
2,idle,switchgrass75,1995,0.04189,0.078014,0.004915,0.231182,1.970858,133.419678
2,idle,switchgrass75,1996,0.025816,0.053213,0.004924,0.287686,1.035112,101.660469
2,idle,switchgrass75,1997,0.051715,0.078747,0.004441,0.235153,2.035451,143.422775
2,idle,switchgrass75,1998,0.060391,0.087168,0.006055,0.222745,2.383076,134.24881
2,idle,switchgrass75,1999,0.045635,0.091468,0.0,0.218366,2.385396,153.590607
2,idle,switchgrass75,2000,0.045209,0.088452,0.0,0.226791,2.41453,118.904243
2,idle,switchgrass75,2001,0.048642,0.086395,0.00176,0.232414,2.206974,143.852585
2,idle,switchgrass75,2002,0.027764,0.072222,0.0,0.273799,1.406202,105.318329
2,idle,switchgrass75,2003,0.031618,0.072885,0.0,0.294751,1.657695,79.196388
2,idle,switchgrass75,2004,0.045474,0.01133,0.0,0.244153,2.308512,133.942474
2,idle,switchgrass75,2005,0.047041,0.005525,0.0,0.228862,2.513005,136.611191
2,idle,switchgrass75,2006,0.056062,0.086414,0.006692,0.217601,2.279872,155.116974
2,idle,switchgrass75,2007,0.038519,0.088247,0.0,0.251568,1.977686,127.419052
2,idle,switchgrass75,2008,0.054736,0.076509,0.017834,0.255577,1.93679,118.088028
2,idle,switchgrass75,2009,0.053699,0.102357,0.000255,0.217972,2.823165,144.686295
2,idle,switchgrass75,2010,0.056069,0.102119,0.004346,0.214043,2.738237,173.853271
2,idle,switchgrass75,2011,0.056595,0.090251,0.004372,0.228925,2.366605,120.961914
2,idle,switchgrass75,2012,0.053232,0.102942,0.003627,0.240493,2.540172,107.153473
2,idle,switchgrass75,2013,0.046868,0.103867,4.5e-05,0.261976,2.467722,120.415733
2,idle,switchgrass75,2014,0.038952,0.088481,0.0,0.267235,2.112838,105.983932
2,idle,switchgrass75,2015,0.04714,0.0833,0.002523,0.236958,2.184952,129.975586
2,idle,switchgrass75,2016,0.059501,0.119723,0.0,0.219544,3.226303,139.572556
2,idle,switchgrass75,2017,0.040277,0.090399,0.001331,0.263413,2.0796,122.449692
2,idle,switchgrass75,2018,0.088114,0.13265,1.3e-05,0.18293,4.809691,149.393951
2,idle,switchgrass75,2019,0.123456,0.128568,0.004326,0.183792,6.999733,148.35675
2,idle,switchgrass75,2020,0.112439,0.11811,0.0,0.217365,6.589572,125.047943
2,idle,switchgrass75,2021,0.140531,0.141838,5.6e-05,0.199057,8.238253,141.96521
2,idle,switchgrass75,2022,0.111789,0.111961,0.003,0.237811,5.866823,137.576752
2,idle,switchgrass75,2023,0.1359,0.144028,0.002417,0.203537,7.528234,138.745132
2,idle,switchgrass75,2024,0.137835,0.147085,0.0,0.201015,8.173433,146.166794
2,idle,switchgrass75,2025,0.118968,0.126079,0.0,0.251997,7.065462,111.499336
2,idle,switchgrass75,2026,0.152639,0.129549,0.014737,0.220026,7.810359,133.419678
2,idle,switchgrass75,2027,0.122224,0.111254,0.030297,0.264347,4.972495,101.660469
2,idle,switchgrass75,2028,0.155029,0.150051,0.009407,0.219816,7.923767,143.422775
2,idle,switchgrass75,2029,0.153501,0.134936,0.007058,0.215855,7.72726,134.24881
2,idle,switchgrass75,2030,0.142976,0.1467,0.0,0.199993,8.440202,153.590607
2,idle,switchgrass75,2031,0.127694,0.127949,0.0,0.226651,7.403683,118.904243
2,idle,switchgrass75,2032,0.13806,0.132965,0.003635,0.213471,7.285347,143.852585
2,idle,switchgrass75,2033,0.100231,0.128653,0.0,0.257654,5.898578,105.318329
2,idle,switchgrass75,2034,0.118621,0.159858,0.0,0.267874,7.172874,79.196388
2,idle,switchgrass75,2035,0.136416,0.01642,0.0,0.226512,8.137071,133.942474
2,idle,switchgrass75,2036,0.136493,0.007633,0.0,0.214993,8.327776,136.611191
2,idle,switchgrass75,2037,0.160392,0.135603,0.015704,0.198501,8.005263,155.116974
2,idle,switchgrass75,2038,0.115178,0.125114,0.0,0.228033,6.75877,127.419052
2,idle,switchgrass75,2039,0.150826,0.123941,0.017538,0.239899,6.589515,118.088028
2,idle,switchgrass75,2040,0.153481,0.144308,0.001964,0.203439,8.892773,144.686295
2,idle,switchgrass75,2041,0.151792,0.132056,0.011994,0.198344,7.82133,173.853271
2,idle,switchgrass75,2042,0.141413,0.123771,0.005647,0.21512,7.637387,120.961914
2,idle,switchgrass75,2043,0.147251,0.148343,0.006393,0.229292,7.933478,107.153473
2,idle,switchgrass75,2044,0.114571,0.142059,4.3e-05,0.24603,6.74303,120.415733
2,idle,switchgrass75,2045,0.098424,0.106774,0.0,0.246713,5.717231,105.983932
2,idle,switchgrass75,2046,0.14298,0.147339,0.005585,0.218478,7.949882,129.975586
2,idle,switchgrass75,2047,0.141494,0.14625,0.002553,0.207299,8.122266,139.572556
2,idle,switchgrass75,2048,0.108715,0.112371,0.002333,0.244065,6.342244,122.449692
2,idle,switchgrass75,2049,0.15496,0.156454,0.0,0.204765,9.256122,149.393951
2,idle,switchgrass75,2050,0.143434,0.136589,0.004138,0.193271,7.934988,148.35675
2,idle,switchgrass75,2051,0.126755,0.132118,0.0,0.217758,7.56477,125.047943
2,idle,switchgrass75,2052,0.147323,0.148563,5.6e-05,0.199184,8.677874,141.96521
2,idle,switchgrass75,2053,0.113585,0.114043,0.002808,0.237875,5.999779,137.576752
2,idle,switchgrass75,2054,0.137001,0.145075,0.002338,0.203562,7.60165,138.745132
2,idle,switchgrass75,2055,0.138501,0.147587,0.0,0.201028,8.233016,146.166794
2,idle,switchgrass75,2056,0.119189,0.126269,0.0,0.252005,7.087845,111.499336
2,idle,switchgrass75,2057,0.152096,0.129547,0.013815,0.220029,7.826541,133.419678
2,idle,switchgrass75,2058,0.121246,0.11141,0.028506,0.264349,4.987466,101.660469
2,idle,switchgrass75,2059,0.154432,0.149927,0.008774,0.219817,7.927558,143.422775
2,idle,switchgrass75,2060,0.15247,0.134579,0.006574,0.215855,7.717708,134.24881
2,idle,switchgrass75,2061,0.142611,0.146265,0.0,0.199994,8.426359,153.590607
2,idle,switchgrass75,2062,0.127372,0.127595,0.0,0.226651,7.391322,118.904243
2,idle,switchgrass75,2063,0.137368,0.132462,0.003448,0.213471,7.267869,143.852585
2,idle,switchgrass75,2064,0.100053,0.128256,0.0,0.257654,5.89255,105.318329
2,idle,switchgrass75,2065,0.118508,0.159648,0.0,0.267874,7.16756,79.196388
2,idle,switchgrass75,2066,0.135947,0.016426,0.0,0.226512,8.115051,133.942474
2,idle,switchgrass75,2067,0.136011,0.007623,0.0,0.214993,8.304464,136.611191
2,idle,switchgrass75,2068,0.159286,0.134895,0.015041,0.198501,7.973822,155.116974
79,idle,switchgrass75,1975,0.081183,0.058869,0.012746,0.210728,1.463443,168.569321
79,idle,switchgrass75,1976,0.014375,0.032377,0.0,0.240511,0.759295,136.082245
79,idle,switchgrass75,1977,0.022345,0.036409,0.004555,0.23845,0.83698,121.303833
79,idle,switchgrass75,1978,0.020342,0.039319,0.0,0.216034,1.074362,146.137024
79,idle,switchgrass75,1979,0.019366,0.038244,1e-06,0.215466,0.978336,180.862717
79,idle,switchgrass75,1980,0.031015,0.039526,0.004617,0.223465,1.016521,125.201721
79,idle,switchgrass75,1981,0.025526,0.049543,0.000962,0.224316,1.267058,116.666748
79,idle,switchgrass75,1982,0.023519,0.05059,3.8e-05,0.254055,1.220746,120.562538
79,idle,switchgrass75,1983,0.019703,0.043798,0.0,0.260969,1.02345,112.79171
79,idle,switchgrass75,1984,0.025644,0.046818,0.002271,0.236215,1.121441,123.40094
79,idle,switchgrass75,1985,0.031597,0.063836,0.0,0.207612,1.595081,141.141342
79,idle,switchgrass75,1986,0.019045,0.043124,0.0,0.26384,0.93532,123.736481
79,idle,switchgrass75,1987,0.033399,0.066386,0.0,0.229062,1.692214,149.332138
79,idle,switchgrass75,1988,0.035907,0.064941,0.003459,0.211443,1.622075,141.567657
79,idle,switchgrass75,1989,0.035094,0.06631,0.001046,0.223237,1.675401,123.376808
79,idle,switchgrass75,1990,0.035525,0.070765,6e-06,0.20862,1.797839,140.698013
79,idle,switchgrass75,1991,0.03493,0.062564,0.002545,0.240044,1.451308,150.380646
79,idle,switchgrass75,1992,0.045394,0.07131,0.006476,0.20881,1.742686,136.799057
79,idle,switchgrass75,1993,0.036201,0.079883,0.0,0.216527,1.825852,147.409042
79,idle,switchgrass75,1994,0.038704,0.08422,0.0,0.244537,2.01912,121.833733
79,idle,switchgrass75,1995,0.035109,0.076392,2e-06,0.233772,1.79708,131.899338
79,idle,switchgrass75,1996,0.0257,0.049917,0.004619,0.279072,1.037672,104.227684
79,idle,switchgrass75,1997,0.048137,0.079876,0.004485,0.231158,1.896789,151.75795
79,idle,switchgrass75,1998,0.048194,0.08732,0.000683,0.216689,2.388601,136.401917
79,idle,switchgrass75,1999,0.043717,0.085253,0.0,0.212518,2.233817,159.030472
79,idle,switchgrass75,2000,0.042114,0.086231,2.5e-05,0.234894,2.198383,115.214417
79,idle,switchgrass75,2001,0.049196,0.087669,0.002475,0.232562,2.079325,149.281464
79,idle,switchgrass75,2002,0.027892,0.06585,0.0,0.262661,1.34935,119.790215
